2022-01-04 00:07:48 startup archives unpack
2022-01-04 00:07:48 install libdouble-conversion3:amd64 <none> 3.1.5-4ubuntu1
2022-01-04 00:07:48 status triggers-pending libc-bin:amd64 2.31-0ubuntu9.2
2022-01-04 00:07:48 status half-installed libdouble-conversion3:amd64 3.1.5-4ubuntu1
2022-01-04 00:07:48 status unpacked libdouble-conversion3:amd64 3.1.5-4ubuntu1
2022-01-04 00:07:48 install libpcre2-16-0:amd64 <none> 10.34-7
2022-01-04 00:07:48 status half-installed libpcre2-16-0:amd64 10.34-7
2022-01-04 00:07:48 status unpacked libpcre2-16-0:amd64 10.34-7
2022-01-04 00:07:48 install libqt5core5a:amd64 <none> 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:48 status half-installed libqt5core5a:amd64 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:49 status unpacked libqt5core5a:amd64 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:49 install libqt5dbus5:amd64 <none> 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:49 status half-installed libqt5dbus5:amd64 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:49 status unpacked libqt5dbus5:amd64 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:49 install libqt5network5:amd64 <none> 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:49 status half-installed libqt5network5:amd64 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:49 status unpacked libqt5network5:amd64 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:49 install libxcb-xinput0:amd64 <none> 1.14-2
2022-01-04 00:07:49 status half-installed libxcb-xinput0:amd64 1.14-2
2022-01-04 00:07:49 status unpacked libxcb-xinput0:amd64 1.14-2
2022-01-04 00:07:49 install libqt5gui5:amd64 <none> 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:49 status half-installed libqt5gui5:amd64 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:49 status unpacked libqt5gui5:amd64 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:49 install libqt5widgets5:amd64 <none> 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:49 status half-installed libqt5widgets5:amd64 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:49 status unpacked libqt5widgets5:amd64 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:49 install libqt5svg5:amd64 <none> 5.12.8-0ubuntu1
2022-01-04 00:07:49 status half-installed libqt5svg5:amd64 5.12.8-0ubuntu1
2022-01-04 00:07:49 status unpacked libqt5svg5:amd64 5.12.8-0ubuntu1
2022-01-04 00:07:49 install libqt5qml5:amd64 <none> 5.12.8-0ubuntu1
2022-01-04 00:07:49 status half-installed libqt5qml5:amd64 5.12.8-0ubuntu1
2022-01-04 00:07:50 status unpacked libqt5qml5:amd64 5.12.8-0ubuntu1
2022-01-04 00:07:50 install libqt5quick5:amd64 <none> 5.12.8-0ubuntu1
2022-01-04 00:07:50 status half-installed libqt5quick5:amd64 5.12.8-0ubuntu1
2022-01-04 00:07:50 status unpacked libqt5quick5:amd64 5.12.8-0ubuntu1
2022-01-04 00:07:50 install qml-module-qtquick-window2:amd64 <none> 5.12.8-0ubuntu1
2022-01-04 00:07:50 status half-installed qml-module-qtquick-window2:amd64 5.12.8-0ubuntu1
2022-01-04 00:07:50 status unpacked qml-module-qtquick-window2:amd64 5.12.8-0ubuntu1
2022-01-04 00:07:50 install qml-module-qtquick2:amd64 <none> 5.12.8-0ubuntu1
2022-01-04 00:07:50 status half-installed qml-module-qtquick2:amd64 5.12.8-0ubuntu1
2022-01-04 00:07:50 status unpacked qml-module-qtquick2:amd64 5.12.8-0ubuntu1
2022-01-04 00:07:50 install qml-module-qtgraphicaleffects:amd64 <none> 5.12.8-0ubuntu1
2022-01-04 00:07:50 status half-installed qml-module-qtgraphicaleffects:amd64 5.12.8-0ubuntu1
2022-01-04 00:07:50 status unpacked qml-module-qtgraphicaleffects:amd64 5.12.8-0ubuntu1
2022-01-04 00:07:50 install libqt5quicktemplates2-5:amd64 <none> 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:50 status half-installed libqt5quicktemplates2-5:amd64 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:50 status unpacked libqt5quicktemplates2-5:amd64 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:50 install libqt5quickcontrols2-5:amd64 <none> 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:50 status half-installed libqt5quickcontrols2-5:amd64 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:50 status unpacked libqt5quickcontrols2-5:amd64 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:50 install qml-module-qtquick-templates2:amd64 <none> 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:50 status half-installed qml-module-qtquick-templates2:amd64 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:50 status unpacked qml-module-qtquick-templates2:amd64 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:50 install qml-module-qtquick-controls2:amd64 <none> 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:50 status half-installed qml-module-qtquick-controls2:amd64 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:50 status unpacked qml-module-qtquick-controls2:amd64 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:50 install qml-module-qtquick-layouts:amd64 <none> 5.12.8-0ubuntu1
2022-01-04 00:07:50 status half-installed qml-module-qtquick-layouts:amd64 5.12.8-0ubuntu1
2022-01-04 00:07:50 status unpacked qml-module-qtquick-layouts:amd64 5.12.8-0ubuntu1
2022-01-04 00:07:50 install qt5-gtk-platformtheme:amd64 <none> 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:50 status half-installed qt5-gtk-platformtheme:amd64 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:50 status unpacked qt5-gtk-platformtheme:amd64 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:50 install qttranslations5-l10n:all <none> 5.12.8-0ubuntu1
2022-01-04 00:07:50 status half-installed qttranslations5-l10n:all 5.12.8-0ubuntu1
2022-01-04 00:07:50 status unpacked qttranslations5-l10n:all 5.12.8-0ubuntu1
2022-01-04 00:07:50 install rpi-imager:amd64 <none> 1.6.2
2022-01-04 00:07:50 status half-installed rpi-imager:amd64 1.6.2
2022-01-04 00:07:51 status triggers-pending gnome-menus:amd64 3.36.0-1ubuntu1
2022-01-04 00:07:51 status triggers-pending desktop-file-utils:amd64 0.24-1ubuntu3
2022-01-04 00:07:51 status triggers-pending mime-support:all 3.64ubuntu1
2022-01-04 00:07:51 status triggers-pending hicolor-icon-theme:all 0.17-2
2022-01-04 00:07:51 status unpacked rpi-imager:amd64 1.6.2
2022-01-04 00:07:51 startup packages configure
2022-01-04 00:07:51 configure libdouble-conversion3:amd64 3.1.5-4ubuntu1 <none>
2022-01-04 00:07:51 status unpacked libdouble-conversion3:amd64 3.1.5-4ubuntu1
2022-01-04 00:07:51 status half-configured libdouble-conversion3:amd64 3.1.5-4ubuntu1
2022-01-04 00:07:51 status installed libdouble-conversion3:amd64 3.1.5-4ubuntu1
2022-01-04 00:07:51 configure libxcb-xinput0:amd64 1.14-2 <none>
2022-01-04 00:07:51 status unpacked libxcb-xinput0:amd64 1.14-2
2022-01-04 00:07:51 status half-configured libxcb-xinput0:amd64 1.14-2
2022-01-04 00:07:51 status installed libxcb-xinput0:amd64 1.14-2
2022-01-04 00:07:51 configure libpcre2-16-0:amd64 10.34-7 <none>
2022-01-04 00:07:51 status unpacked libpcre2-16-0:amd64 10.34-7
2022-01-04 00:07:51 status half-configured libpcre2-16-0:amd64 10.34-7
2022-01-04 00:07:51 status installed libpcre2-16-0:amd64 10.34-7
2022-01-04 00:07:51 configure qttranslations5-l10n:all 5.12.8-0ubuntu1 <none>
2022-01-04 00:07:51 status unpacked qttranslations5-l10n:all 5.12.8-0ubuntu1
2022-01-04 00:07:51 status half-configured qttranslations5-l10n:all 5.12.8-0ubuntu1
2022-01-04 00:07:51 status installed qttranslations5-l10n:all 5.12.8-0ubuntu1
2022-01-04 00:07:51 configure libqt5core5a:amd64 5.12.8+dfsg-0ubuntu1 <none>
2022-01-04 00:07:51 status unpacked libqt5core5a:amd64 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:51 status half-configured libqt5core5a:amd64 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:51 status installed libqt5core5a:amd64 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:51 configure libqt5dbus5:amd64 5.12.8+dfsg-0ubuntu1 <none>
2022-01-04 00:07:51 status unpacked libqt5dbus5:amd64 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:51 status half-configured libqt5dbus5:amd64 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:51 status installed libqt5dbus5:amd64 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:51 configure libqt5network5:amd64 5.12.8+dfsg-0ubuntu1 <none>
2022-01-04 00:07:51 status unpacked libqt5network5:amd64 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:51 status half-configured libqt5network5:amd64 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:51 status installed libqt5network5:amd64 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:51 configure libqt5qml5:amd64 5.12.8-0ubuntu1 <none>
2022-01-04 00:07:51 status unpacked libqt5qml5:amd64 5.12.8-0ubuntu1
2022-01-04 00:07:51 status half-configured libqt5qml5:amd64 5.12.8-0ubuntu1
2022-01-04 00:07:51 status installed libqt5qml5:amd64 5.12.8-0ubuntu1
2022-01-04 00:07:51 configure libqt5gui5:amd64 5.12.8+dfsg-0ubuntu1 <none>
2022-01-04 00:07:51 status unpacked libqt5gui5:amd64 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:51 status half-configured libqt5gui5:amd64 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:51 status installed libqt5gui5:amd64 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:51 configure libqt5widgets5:amd64 5.12.8+dfsg-0ubuntu1 <none>
2022-01-04 00:07:51 status unpacked libqt5widgets5:amd64 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:51 status half-configured libqt5widgets5:amd64 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:51 status installed libqt5widgets5:amd64 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:51 configure qt5-gtk-platformtheme:amd64 5.12.8+dfsg-0ubuntu1 <none>
2022-01-04 00:07:51 status unpacked qt5-gtk-platformtheme:amd64 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:51 status half-configured qt5-gtk-platformtheme:amd64 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:51 status installed qt5-gtk-platformtheme:amd64 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:51 configure libqt5quick5:amd64 5.12.8-0ubuntu1 <none>
2022-01-04 00:07:51 status unpacked libqt5quick5:amd64 5.12.8-0ubuntu1
2022-01-04 00:07:51 status half-configured libqt5quick5:amd64 5.12.8-0ubuntu1
2022-01-04 00:07:51 status installed libqt5quick5:amd64 5.12.8-0ubuntu1
2022-01-04 00:07:51 configure libqt5svg5:amd64 5.12.8-0ubuntu1 <none>
2022-01-04 00:07:51 status unpacked libqt5svg5:amd64 5.12.8-0ubuntu1
2022-01-04 00:07:51 status half-configured libqt5svg5:amd64 5.12.8-0ubuntu1
2022-01-04 00:07:51 status installed libqt5svg5:amd64 5.12.8-0ubuntu1
2022-01-04 00:07:51 configure qml-module-qtquick-window2:amd64 5.12.8-0ubuntu1 <none>
2022-01-04 00:07:51 status unpacked qml-module-qtquick-window2:amd64 5.12.8-0ubuntu1
2022-01-04 00:07:51 status half-configured qml-module-qtquick-window2:amd64 5.12.8-0ubuntu1
2022-01-04 00:07:51 status installed qml-module-qtquick-window2:amd64 5.12.8-0ubuntu1
2022-01-04 00:07:51 configure qml-module-qtquick-layouts:amd64 5.12.8-0ubuntu1 <none>
2022-01-04 00:07:51 status unpacked qml-module-qtquick-layouts:amd64 5.12.8-0ubuntu1
2022-01-04 00:07:51 status half-configured qml-module-qtquick-layouts:amd64 5.12.8-0ubuntu1
2022-01-04 00:07:51 status installed qml-module-qtquick-layouts:amd64 5.12.8-0ubuntu1
2022-01-04 00:07:51 configure libqt5quicktemplates2-5:amd64 5.12.8+dfsg-0ubuntu1 <none>
2022-01-04 00:07:51 status unpacked libqt5quicktemplates2-5:amd64 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:51 status half-configured libqt5quicktemplates2-5:amd64 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:51 status installed libqt5quicktemplates2-5:amd64 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:51 configure qml-module-qtquick2:amd64 5.12.8-0ubuntu1 <none>
2022-01-04 00:07:51 status unpacked qml-module-qtquick2:amd64 5.12.8-0ubuntu1
2022-01-04 00:07:51 status half-configured qml-module-qtquick2:amd64 5.12.8-0ubuntu1
2022-01-04 00:07:51 status installed qml-module-qtquick2:amd64 5.12.8-0ubuntu1
2022-01-04 00:07:51 configure qml-module-qtquick-templates2:amd64 5.12.8+dfsg-0ubuntu1 <none>
2022-01-04 00:07:51 status unpacked qml-module-qtquick-templates2:amd64 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:51 status half-configured qml-module-qtquick-templates2:amd64 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:51 status installed qml-module-qtquick-templates2:amd64 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:51 configure libqt5quickcontrols2-5:amd64 5.12.8+dfsg-0ubuntu1 <none>
2022-01-04 00:07:51 status unpacked libqt5quickcontrols2-5:amd64 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:51 status half-configured libqt5quickcontrols2-5:amd64 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:51 status installed libqt5quickcontrols2-5:amd64 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:51 configure qml-module-qtgraphicaleffects:amd64 5.12.8-0ubuntu1 <none>
2022-01-04 00:07:51 status unpacked qml-module-qtgraphicaleffects:amd64 5.12.8-0ubuntu1
2022-01-04 00:07:51 status half-configured qml-module-qtgraphicaleffects:amd64 5.12.8-0ubuntu1
2022-01-04 00:07:51 status installed qml-module-qtgraphicaleffects:amd64 5.12.8-0ubuntu1
2022-01-04 00:07:51 configure qml-module-qtquick-controls2:amd64 5.12.8+dfsg-0ubuntu1 <none>
2022-01-04 00:07:51 status unpacked qml-module-qtquick-controls2:amd64 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:51 status half-configured qml-module-qtquick-controls2:amd64 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:51 status installed qml-module-qtquick-controls2:amd64 5.12.8+dfsg-0ubuntu1
2022-01-04 00:07:51 configure rpi-imager:amd64 1.6.2 <none>
2022-01-04 00:07:51 status unpacked rpi-imager:amd64 1.6.2
2022-01-04 00:07:51 status half-configured rpi-imager:amd64 1.6.2
2022-01-04 00:07:51 status installed rpi-imager:amd64 1.6.2
2022-01-04 00:07:51 trigproc mime-support:all 3.64ubuntu1 <none>
2022-01-04 00:07:51 status half-configured mime-support:all 3.64ubuntu1
2022-01-04 00:07:51 status installed mime-support:all 3.64ubuntu1
2022-01-04 00:07:51 trigproc hicolor-icon-theme:all 0.17-2 <none>
2022-01-04 00:07:51 status half-configured hicolor-icon-theme:all 0.17-2
2022-01-04 00:07:51 status installed hicolor-icon-theme:all 0.17-2
2022-01-04 00:07:51 trigproc gnome-menus:amd64 3.36.0-1ubuntu1 <none>
2022-01-04 00:07:51 status half-configured gnome-menus:amd64 3.36.0-1ubuntu1
2022-01-04 00:07:51 status installed gnome-menus:amd64 3.36.0-1ubuntu1
2022-01-04 00:07:51 trigproc libc-bin:amd64 2.31-0ubuntu9.2 <none>
2022-01-04 00:07:51 status half-configured libc-bin:amd64 2.31-0ubuntu9.2
2022-01-04 00:07:51 status installed libc-bin:amd64 2.31-0ubuntu9.2
2022-01-04 00:07:51 trigproc desktop-file-utils:amd64 0.24-1ubuntu3 <none>
2022-01-04 00:07:51 status half-configured desktop-file-utils:amd64 0.24-1ubuntu3
2022-01-04 00:07:51 status installed desktop-file-utils:amd64 0.24-1ubuntu3
2022-01-05 13:15:31 startup archives unpack
2022-01-05 13:15:31 install linux-modules-5.11.0-44-generic:amd64 <none> 5.11.0-44.48~20.04.2
